team_id,team_name,field_id,field_name,num_fields
1016,מכבי ע.ק. אתא,326,קרית אתא,1
1023,"מכבי חיפה ""עלמני""",271,חיפה קצף תחתון,1
1029,מכבי חיפה מקס,636,חיפה קצף סינטטי,1
1040,מכבי יבנה,349,יבנה דרך הנשיאים,1
1051,מכבי צור שלום ק. ביאליק,174,צור שלום,1
1052,"מכבי פ""ת משה דיין",954,פתח תקוה מכבי סינטטי,1
1054,מכבי הרצליה,334,הרצליה רן 1,1
1060,מכבי ע. שדרות,66,שדרות,1
1073,"מכבי ת""א שחר",69,נס ציונה אצטדיון,1
1074,מכבי אחי נצרת,331,נצרת עילוט אימונים סינטטי,1
1076,מכבי הרצליה ליאור אסולין,334,הרצליה רן 1,1
1079,מכבי שעריים מדהלה,1212,רחובות שעריים וייסגל סינטטי,1
1084,מכבי צור שלום ק. ביאליק,174,צור שלום,1
1092,מכבי אחי נצרת,331,נצרת עילוט אימונים סינטטי,1
1100,מכבי עמק חפר אברהם,1020,בת חפר יישוב,1
1105,מכבי יבנה שמעון,5,יבנה אצטדיון טוטו,1
1111,מכבי הרצליה רן מסיקה,334,הרצליה רן 1,1
1112,מכבי נתניה,1078,נתניה שפירא,1
1113,מכבי חיפה גולדשנפלד,1060,מעגן מיכאל,1
1116,מכבי חיפה גולדשנפלד,1060,מעגן מיכאל,1
1131,"מכבי חיפה ""הרדי""",271,חיפה קצף תחתון,1
1143,מכבי נתניה שלומי,1127,נתניה בית מכבי נתניה,1
1144,מכבי הרצליה י כהנא,154,הרצליה אצטדיון טוטו,1
1146,"מכבי פ""ת עסיסי דוד",1111,פתח תקוה אצטדיון שלמה ביטוח,1
1164,מכבי עמק חפר,1020,בת חפר יישוב,1
1180,מכבי ע.ק. אתא,326,קרית אתא,1
1183,מכבי צור שלום ק. ביאליק,174,צור שלום,1
1199,מ.ס. אשדוד,72,"אשדוד אצטדיון הי""א",1
1200,מ.ס. אשדוד/ז'ילבר,215,אשדוד סינטטי,1
1201,מ.ס. אשדוד אלונה,215,אשדוד סינטטי,1
1202,מ.ס. אשדוד מוריס,215,אשדוד סינטטי,1
1229,מכבי יבנה 2,349,יבנה דרך הנשיאים,1
1231,"מכבי פ""ת  יהודה פרטוש",954,פתח תקוה מכבי סינטטי,1
1241,"א.ס נורדיה י-ם ""נועם חבה""",1208,ירושלים הר חומה סינטטי,1
1245,מכבי ע. נתיבות,1280,נתיבות חדש סינטטי,1
1250,מכבי אחי נצרת,285,נצרת אצטדיון עילוט,2
1253,מכבי צור שלום ק. ביאליק,174,צור שלום,1
1283,"מכבי עמישב פ""ת",595,פתח תקוה סירקין ספורטק אצטדיון,1
1303,הפ' בני ערערה עארה,88,ערערה,1
1320,מכבי ע.ק. אתא,326,קרית אתא,1
1335,מ.ס. צעירי כפר קנא,78,כפר כנא,1
1337,מ.ס. צעירי כפר קנא,78,כפר כנא,1
1338,"מכבי ת""א אלדד",336,תל אביב קרית שלום סינטטי,1
1348,מ.ס. צעירי כפר קנא,78,כפר כנא,1
1372,מכבי עין מאהל אדהם,232,עין מאהל,1
1399,מ.ס. הפ' ירוחם,38,ירוחם,1
1432,מכבי חיפה יהויכים,271,חיפה קצף תחתון,1
1467,בני יהוד,1012,יהוד ק.סביונים,1
1469,בני יהוד,1012,יהוד ק.סביונים,1
1476,א.ס נורדיה ירושלים,1208,ירושלים הר חומה סינטטי,1
1480,עירוני באר יעקב,68,באר יעקב,1
1481,עירוני באר יעקב,68,באר יעקב,1
1482,"מכבי נווה שאנן יוסף שריקי ""צו פיוס""",400,חיפה אבי רן,1
1483,מכבי נווה שאנן אינג' יוסף ינון,400,חיפה אבי רן,1
1484,מכבי נווה שאנן  יוסי שטח,400,חיפה אבי רן,1
1526,מכבי עירוני נתיבות,1280,נתיבות חדש סינטטי,1
1531,מכבי שעריים רחובות,1212,רחובות שעריים וייסגל סינטטי,1
1534,מכבי רחובות,1215,רחובות מכבי רחובות וייסגל סינטטי,1
1547,"מכבי ב""ש",330,באר שבע טאובל,1
1548,"מכבי ב""ש ""צו פיוס""",330,באר שבע טאובל,1
1571,בני יהוד,1012,יהוד ק.סביונים,1
1580,עירוני נשר,1006,נשר אצטדיון,1
1586,מכבי נווה שאנן ז'אק בז'ה,400,חיפה אבי רן,1
1593,"מכבי ת""א עודד",183,תל אביב קרית שלום 1,1
1595,הפועל עליה כפ״ס,1004,"כפר סבא עליה כ""ס",1
1598,"מכבי פ""ת כלפו",954,פתח תקוה מכבי סינטטי,1
1606,מכבי נתניה רפאל,1078,נתניה שפירא,1
1607,"מכבי ת""א אלי פוקס",183,תל אביב קרית שלום 1,1
1640,"מכבי ב""ש",330,באר שבע טאובל,1
1641,"מכבי ב""ש 2",330,באר שבע טאובל,1
1669,מכבי אחי נצרת,331,נצרת עילוט אימונים סינטטי,1
1699,מ.ס. חיפה רובי שפירא,400,חיפה אבי רן,1
1704,"מ.ס. בני ""ממבע"" הגולן והגליל",1259,בוקעתא,1
1705,"מ.ס. בני ""ממבע"" הגולן והגליל",1259,בוקעתא,1
1706,"מ.ס. בני ""ממבע"" הגולן והגליל",1259,בוקעתא,1
1716,אגודת ספורט אשדוד,1203,אשדוד סינטטי 2 קטן,1
1717,אגודת ספורט אשדוד,1203,אשדוד סינטטי 2 קטן,1
1728,הפ' קרית חיים ליבוביץ יעקב,1238,קרית חיים בית נגלר מזרחי (אתוס לשעבר),1
1752,מכבי נתניה יונתן יוני,1078,נתניה שפירא,1
1766,מכבי יבנה,349,יבנה דרך הנשיאים,1
1786,הפ' קרית חיים ליבוביץ יעקב,1239,קרית חיים בית נגלר מערבי (אתוס לשעבר),1
1792,מ.ס. איחוד דרום השרון,1279,ירחיב,1
1793,מ.ס. איחוד דרום השרון,1279,ירחיב,1
1794,מ.ס. איחוד דרום השרון,1279,ירחיב,1
1802,הפועל מטה יהודה,1278,(סגור)רייסר 4 סגור/ישן,1
1828,מ.ס. איחוד דרום השרון,1279,ירחיב,1
1869,מ.כ חולון ירמיהו,1260,חולון אימונים סינטטי ליד בית העלמין,1
1870,מכבי הרצליה ב,334,הרצליה רן 1,1
1887,מ.כ. חולון ירמיהו,1316,חולון טוטו,1
1888,מ.כ. חולון ירמיהו צפון,1260,חולון אימונים סינטטי ליד בית העלמין,1
